Phone timestamp;RR-interval [ms]
2022-05-09T16:11:23.000;669
2022-05-09T16:11:23.669;697
2022-05-09T16:11:24.366;669
2022-05-09T16:11:25.035;636
2022-05-09T16:11:25.671;636
2022-05-09T16:11:26.307;602
2022-05-09T16:11:26.909;609
2022-05-09T16:11:27.518;607
2022-05-09T16:11:28.125;605
2022-05-09T16:11:28.730;586
2022-05-09T16:11:29.316;606
2022-05-09T16:11:29.922;610
2022-05-09T16:11:30.532;621
2022-05-09T16:11:31.153;623
2022-05-09T16:11:31.776;619
2022-05-09T16:11:32.395;625
2022-05-09T16:11:33.020;604
2022-05-09T16:11:33.624;608
2022-05-09T16:11:34.232;595
2022-05-09T16:11:34.827;588
2022-05-09T16:11:35.415;586
2022-05-09T16:11:36.001;570
2022-05-09T16:11:36.571;567
2022-05-09T16:11:37.138;565
2022-05-09T16:11:37.703;565
2022-05-09T16:11:38.268;571
2022-05-09T16:11:38.839;579
2022-05-09T16:11:39.418;571
2022-05-09T16:11:39.989;582
2022-05-09T16:11:40.571;597
2022-05-09T16:11:41.168;623
2022-05-09T16:11:41.791;648
2022-05-09T16:11:42.439;670
2022-05-09T16:11:43.109;667
2022-05-09T16:11:43.776;662
2022-05-09T16:11:44.438;651
2022-05-09T16:11:45.089;632
2022-05-09T16:11:45.721;645
2022-05-09T16:11:46.366;651
2022-05-09T16:11:47.017;635
2022-05-09T16:11:47.652;657
2022-05-09T16:11:48.309;672
2022-05-09T16:11:48.981;678
2022-05-09T16:11:49.659;646
2022-05-09T16:11:50.305;654
2022-05-09T16:11:50.959;647
2022-05-09T16:11:51.606;636
2022-05-09T16:11:52.242;633
2022-05-09T16:11:52.875;639
2022-05-09T16:11:53.514;630
2022-05-09T16:11:54.144;619
2022-05-09T16:11:54.763;626
2022-05-09T16:11:55.389;621
2022-05-09T16:11:56.010;611
2022-05-09T16:11:56.621;586
2022-05-09T16:11:57.207;574
2022-05-09T16:11:57.781;563
